Time	Data
12067	36.32858
12068	36.31897
12069	36.30587
12070	36.28934
12071	36.26979
12072	36.248
12073	36.22497
12074	36.20184
12075	36.17972
12076	36.15963
12077	36.14241
12078	36.12863
12079	36.11859
12080	36.11229
12081	36.10949
12082	36.10976
12083	36.11251
12084	36.11708
12085	36.1228
12086	36.12905
12087	36.1353
12088	36.14111
12089	36.14616
12090	36.15019
12091	36.15303
12092	36.15451
12093	36.15447
12094	36.15272
12095	36.14901
12096	36.14309
12097	36.13466
12098	36.1235
12099	36.10947
12100	36.09257
12101	36.07306
12102	36.05143
12103	36.02851
12104	36.00544
12105	35.98364
12106	35.96477
12107	35.95062
12108	35.94302
12109	35.94367
12110	35.95402
12111	35.97509
12112	36.00739
12113	36.05077
12114	36.1044
12115	36.16675
12116	36.2356
12117	36.30821
12118	36.38136
12119	36.45161
12120	36.51549
12121	36.56969
12122	36.61131
12123	36.63803
12124	36.64827
12125	36.6413
12126	36.61731
12127	36.57735
12128	36.52333
12129	36.45782
12130	36.38396
12131	36.30519
12132	36.22508
12133	36.14709
12134	36.0744
12135	36.00971
12136	35.95513
12137	35.9121
12138	35.88137
12139	35.86299
12140	35.8564
12141	35.86053
12142	35.87391
12143	35.8948
12144	35.92134
12145	35.95168
12146	35.98406
12147	36.01689
12148	36.04882
12149	36.07877
12150	36.1059
12151	36.12959
12152	36.14945
12153	36.16525
12154	36.17692
12155	36.18448
12156	36.18807
12157	36.18795
12158	36.18448
12159	36.17815
12160	36.16961
12161	36.15965
12162	36.14924
12163	36.13945
12164	36.13144
12165	36.12642
12166	36.12549
12167	36.12962
12168	36.13949
12169	36.15542
12170	36.17726
12171	36.20438
12172	36.2356
12173	36.26928
12174	36.30336
12175	36.33548
12176	36.3632
12177	36.38417
12178	36.39634
12179	36.3982
12180	36.38897
12181	36.36874
12182	36.33857
12183	36.3005
12184	36.2575
12185	36.2133
12186	36.17218
12187	36.13865
12188	36.11715
12189	36.11163
12190	36.12525
12191	36.16002
12192	36.21657
12193	36.29396
12194	36.38964
12195	36.49952
12196	36.61813
12197	36.73894
12198	36.85475
12199	36.95815
12200	37.04202
12201	37.10003
12202	37.12714
12203	37.11995
12204	37.077
12205	36.99898
12206	36.88865
12207	36.75081
12208	36.59197
12209	36.41994
12210	36.24339
12211	36.07126
12212	35.91217
12213	35.77392
12214	35.66295
12215	35.58396
12216	35.53962
12217	35.53047
12218	35.55492
12219	35.6094
12220	35.68868
12221	35.78626
12222	35.89485
12223	36.00686
12224	36.11496
12225	36.2125
12226	36.29393
12227	36.35514
12228	36.39357
12229	36.40835
12230	36.4002
12231	36.37126
12232	36.32485
12233	36.26513
12234	36.19673
12235	36.12441
12236	36.0527
12237	35.9856
12238	35.92638
12239	35.87739
12240	35.84008
12241	35.81492
12242	35.80157
12243	35.79899
12244	35.80566
12245	35.81972
12246	35.83922
12247	35.86225
12248	35.8871
12249	35.9123
12250	35.93672
12251	35.95949
12252	35.97999
12253	35.99777
12254	36.01245
12255	36.02363
12256	36.03084
12257	36.03349
12258	36.03089
12259	36.02226
12260	36.00682
12261	35.9839
12262	35.95305
12263	35.91419
12264	35.86771
12265	35.81455
12266	35.75625
12267	35.69495
12268	35.63332
12269	35.57443
12270	35.52157
12271	35.47807
12272	35.44702
12273	35.43108
12274	35.43219
12275	35.45145
12276	35.48895
12277	35.54371
12278	35.61372
12279	35.69599
12280	35.78677
12281	35.88173
12282	35.97629
12283	36.0659
12284	36.14633
12285	36.214
12286	36.2662
12287	36.30125
12288	36.31866
12289	36.31908
12290	36.30429
12291	36.277
12292	36.24068
12293	36.19925
12294	36.15681
12295	36.11734
12296	36.08438
12297	36.06083
12298	36.04874
12299	36.04919
12300	36.06224
12301	36.08703
12302	36.1218
12303	36.16413
12304	36.21112
12305	36.25967
12306	36.30668
12307	36.34931
12308	36.38518
12309	36.41253
12310	36.43028
12311	36.43814
12312	36.43651
12313	36.42643
12314	36.40947
12315	36.38757
12316	36.36284
12317	36.33741
12318	36.31324
12319	36.29203
12320	36.27504
12321	36.26312
12322	36.2566
12323	36.25536
12324	36.25886
12325	36.26625
12326	36.27643
12327	36.28817
12328	36.30022
12329	36.3114
12330	36.32067
12331	36.32717
12332	36.33027
12333	36.32957
12334	36.32486
12335	36.31613
12336	36.30352
12337	36.28725
12338	36.26765
12339	36.24506
12340	36.21985
12341	36.19243
12342	36.16321
12343	36.13265
12344	36.10125
12345	36.06959
12346	36.03834
12347	36.00824
12348	35.98011
12349	35.95483
12350	35.93331
12351	35.91638
12352	35.90482
12353	35.89922
12354	35.89996
12355	35.90714
12356	35.92051
12357	35.93952
12358	35.96322
12359	35.99036
12360	36.01943
12361	36.04866
12362	36.07623
12363	36.10024
12364	36.11894
12365	36.13075
12366	36.13442
12367	36.12907
12368	36.11429
12369	36.09015
12370	36.05726
12371	36.01667
12372	35.96991
12373	35.91886
12374	35.86568
12375	35.81271
12376	35.76232
12377	35.71684
12378	35.67841
12379	35.64889
12380	35.62975
12381	35.62203
12382	35.62627
12383	35.64247
12384	35.67011
12385	35.70818
12386	35.7552
12387	35.80928
12388	35.86826
12389	35.92973
12390	35.99121
12391	36.05022
12392	36.10444
12393	36.15177
12394	36.19046
12395	36.21921
12396	36.23722
12397	36.24421
12398	36.24048
12399	36.22685
12400	36.2046
12401	36.17546
12402	36.1414
12403	36.10461
12404	36.06725
12405	36.03139
12406	35.99885
12407	35.97102
12408	35.94884
12409	35.9327
12410	35.92238
12411	35.91713
12412	35.91571
12413	35.91646
12414	35.91749
12415	35.91682
12416	35.91255
12417	35.90306
12418	35.88712
12419	35.86409
12420	35.83394
12421	35.79733
12422	35.75559
12423	35.7106
12424	35.66472
12425	35.62057
12426	35.58086
12427	35.54815
12428	35.52466
12429	35.51203
12430	35.51123
12431	35.52241
12432	35.54488
12433	35.57713
12434	35.61695
12435	35.66158
12436	35.70791
12437	35.75273
12438	35.79298
12439	35.82599
12440	35.84969
12441	35.86279
12442	35.86487
12443	35.85641
12444	35.83872
12445	35.81384
12446	35.78435
12447	35.75313
12448	35.72311
12449	35.69702
12450	35.67713
12451	35.66506
12452	35.66166
12453	35.66696
12454	35.68015
12455	35.69972
12456	35.72362
12457	35.74948
12458	35.77486
12459	35.79752
12460	35.81568
12461	35.82819
12462	35.83473
12463	35.83577
12464	35.83265
12465	35.8274
12466	35.82254
12467	35.82089
12468	35.82521
12469	35.83789
12470	35.86075
12471	35.89469
12472	35.9396
12473	35.99425
12474	36.05634
12475	36.1226
12476	36.18908
12477	36.25138
12478	36.30508
12479	36.3461
12480	36.37108
12481	36.37769
12482	36.3649
12483	36.33312
12484	36.28423
12485	36.22144
12486	36.14913
12487	36.07246
12488	35.99699
12489	35.92821
12490	35.87108
12491	35.8296
12492	35.80647
12493	35.80279
12494	35.81799
12495	35.84984
12496	35.8946
12497	35.94735
12498	36.00238
12499	36.05372
12500	36.0956
12501	36.12301
12502	36.13216
12503	36.1208
12504	36.0885
12505	36.03669
12506	35.96859
12507	35.88897
12508	35.80376
12509	35.71959
12510	35.64319
12511	35.58087
12512	35.53793
12513	35.51822
12514	35.52378
12515	35.55464
12516	35.60877
12517	35.68225
12518	35.76955
12519	35.86396
12520	35.95811
12521	36.04463
12522	36.11664
